Identifier:,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,
File Name:,RRLA90B.3,,,,,,RRLA85B.3,,,,,,RRLA80B.3,,,,,,RRLA75B.3,,,,,,RRLA70B.3,,,,,,RRLA65B.3,,,,,,RRLA60B.3,,,,,,RRLA55B.3,,,,,,RRLA50B.3,,,,,,RRLA45B.3,,,,,,RRLA40B.3,,,,,,RRLA35B.3,,,,,,RRLA30B.3,,,,,,RRLA25B.3,,,,,,RRLA20B.3,,,,,,RRRA90A.3,,,,,,RRRA85A.3,,,,,,RRRA80A.3,,,,,,RRRA75A.3,,,,,,RRRA70A.3,,,,,,RRRA65A.3,,,,,,RRRA60A.3,,,,,,RRRA55A.3,,,,,,RRRA50A.3,,,,,,RRRA45A.3,,,,,,RRRA40A.3,,,,,,RRRA35A.3,,,,,,RRRA30A.3,,,,,,RRRA25A.3,,,,,,RRRA20A.3,,,,,,
Ear:,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,
Channel:,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,
Buffer:,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,
Intensity:,90,,,,,,85,,,,,,80,,,,,,75,,,,,,70,,,,,,65,,,,,,60,,,,,,55,,,,,,50,,,,,,45,,,,,,40,,,,,,35,,,,,,30,,,,,,25,,,,,,20,,,,,,90,,,,,,85,,,,,,80,,,,,,75,,,,,,70,,,,,,65,,,,,,60,,,,,,55,,,,,,50,,,,,,45,,,,,,40,,,,,,35,,,,,,30,,,,,,25,,,,,,20,,,,,,
Stim. Rate:, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,,
Stim. Mode:,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,
Sweeps:,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,
Artifacts:,45,,,,,,44,,,,,,26,,,,,,18,,,,,,26,,,,,,25,,,,,,35,,,,,,68,,,,,,54,,,,,,36,,,,,,58,,,,,,22,,,,,,45,,,,,,55,,,,,,59,,,,,,4,,,,,,3,,,,,,2,,,,,,5,,,,,,2,,,,,,2,,,,,,1,,,,,,2,,,,,,1,,,,,,2,,,,,,2,,,,,,1,,,,,,6,,,,,,3,,,,,,1,,,,,,
Smp. Period:,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,
